# Team 0: PlayerAgent, Team 1: PlayerAgent
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
7,Pre-Flop,1,34,-34,RAISE,78,"['Ad', '8h']","['As', '5s']","['Ah', '7s']",5d,,11,11
7,Pre-Flop,0,34,-34,CALL,0,"['Ad', '8h']","['As', '5s']","['Ah', '7s']",5d,,22,22
7,Flop,1,34,-34,CHECK,0,"['Ad', '8h']","['As', '5s']","['Ah', '7s', '8s']",5d,,100,100
7,Flop,0,34,-34,CHECK,0,"['Ad', '8h']","['As', '5s']","['Ah', '7s', '8s']",5d,,100,100
7,Turn,1,34,-34,CHECK,0,"['Ad', '8h']","['As', '5s']","['Ah', '7s', '8s', '4d']",5d,,100,100
7,Turn,0,34,-34,CHECK,0,"['Ad', '8h']","['As', '5s']","['Ah', '7s', '8s', '4d']",5d,,100,100
7,River,1,34,-34,CHECK,0,"['Ad', '8h']","['As', '5s']","['Ah', '7s', '8s', '4d', '4s']",5d,,100,100
7,River,0,34,-34,CHECK,0,"['Ad', '8h']","['As', '5s']","['Ah', '7s', '8s', '4d', '4s']",5d,,100,100
8,Pre-Flop,0,-66,66,DISCARD,0,"['8h', '2d']","['8s', '4h']","['9h', '5h']",,,1,1
8,Pre-Flop,0,-66,66,RAISE,3,"['8h', '7s']","['8s', '4h']","['9h', '5h']",2d,,1,1
8,Pre-Flop,1,-66,66,RAISE,21,"['8h', '7s']","['8s', '4h']","['9h', '5h']",2d,,2,2
8,Pre-Flop,0,-66,66,RAISE,26,"['8h', '7s']","['8s', '4h']","['9h', '5h']",2d,,5,5
8,Pre-Flop,1,-66,66,RAISE,48,"['8h', '7s']","['8s', '4h']","['9h', '5h']",2d,,26,26
8,Pre-Flop,0,-66,66,CALL,0,"['8h', '7s']","['8s', '4h']","['9h', '5h']",2d,,52,52
8,Pre-Flop,1,-66,66,CHECK,0,"['8h', '7s']","['8s', '4h']","['9h', '5h']",2d,,100,100
8,Flop,0,-66,66,CHECK,0,"['8h', '7s']","['8s', '4h']","['9h', '5h', '9s']",2d,,100,100
8,Flop,1,-66,66,CHECK,0,"['8h', '7s']","['8s', '4h']","['9h', '5h', '9s']",2d,,100,100
8,Turn,0,-66,66,CHECK,0,"['8h', '7s']","['8s', '4h']","['9h', '5h', '9s', '8d']",2d,,100,100
8,Turn,1,-66,66,CHECK,0,"['8h', '7s']","['8s', '4h']","['9h', '5h', '9s', '8d']",2d,,100,100
8,River,0,-66,66,CHECK,0,"['8h', '7s']","['8s', '4h']","['9h', '5h', '9s', '8d', '6h']",2d,,100,100
8,River,1,-66,66,CHECK,0,"['8h', '7s']","['8s', '4h']","['9h', '5h', '9s', '8d', '6h']",2d,,100,100
9,Pre-Flop,1,34,-34,RAISE,9,"['6h', 'Ad']","['8d', '9h']","['8s', '5d']",,,1,1
9,Pre-Flop,0,34,-34,DISCARD,0,"['6h', 'Ad']","['8d', '9h']","['8s', '5d']",,,2,2
9,Pre-Flop,0,34,-34,RAISE,11,"['6h', '7s']","['8d', '9h']","['8s', '5d']",Ad,,2,2
9,Pre-Flop,1,34,-34,RAISE,78,"['6h', '7s']","['8d', '9h']","['8s', '5d']",Ad,,11,11
9,Pre-Flop,0,34,-34,CALL,0,"['6h', '7s']","['8d', '9h']","['8s', '5d']",Ad,,22,22
9,Flop,1,34,-34,CHECK,0,"['6h', '7s']","['8d', '9h']","['8s', '5d', '9d']",Ad,,100,100
9,Flop,0,34,-34,CHECK,0,"['6h', '7s']","['8d', '9h']","['8s', '5d', '9d']",Ad,,100,100
9,Turn,1,34,-34,CHECK,0,"['6h', '7s']","['8d', '9h']","['8s', '5d', '9d', '7d']",Ad,,100,100
9,Turn,0,34,-34,CHECK,0,"['6h', '7s']","['8d', '9h']","['8s', '5d', '9d', '7d']",Ad,,100,100
9,River,1,34,-34,CHECK,0,"['6h', '7s']","['8d', '9h']","['8s', '5d', '9d', '7d', '7h']",Ad,,100,100
